IMAGE,IMAGE URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
MVZ_Egg_7139.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7139_egg.jpg,MVZ:Egg:7139,Apteryx mantelli,New Zealand,,"Zoological Gardens in Regents Park, North Island",#REF!,-39,176,452064
MVZ_Egg_7138.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7138_egg.jpg,MVZ:Egg:7138,Apteryx mantelli,New Zealand,Auckland,North Island,#REF!,-36.87,174.81,3474
MVZ_Egg_7135.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7135_egg.jpg,MVZ:Egg:7135,Casuarius bennetti,Papua New Guinea,Northern Province,"Kokoda, Foothills of Owen Stanley Range, ca. 60 mi inland",#REF!,-8.879528999,147.736145,2302
MVZ_Egg_7134.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7134_egg.jpg,MVZ:Egg:7134,Casuarius casuarius,Australia,Queensland,near Cairns,#REF!,-16.88333,145.75,3245
MVZ_Egg_7136.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7136_egg.jpg,MVZ:Egg:7136,Casuarius casuarius,Papua New Guinea,Western Province,"mouth of Fly River, SE New Guinea",#REF!,-8.425675392,143.3220673,20252
MVZ_Egg_4314.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4314_egg.jpg,MVZ:Egg:4314,Casuarius,United Kingdom,England,Tring Park,#REF!,51.78333,-0.65,2682
MVZ_Egg_4315.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4315_egg.jpg,MVZ:Egg:4315,Dromaius novaehollandiae novaehollandiae,Australia,New South Wales,Katoomba,#REF!,-33.7,150.3,1815
MVZ_Egg_7137.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7137_egg.jpg,MVZ:Egg:7137,Dromaius novaehollandiae novaehollandiae,Australia,,No specific locality recorded.,#REF!,,,
MVZ_Egg_7133.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7133_egg.jpg,MVZ:Egg:7133,Rhea pennata pennata,Argentina,Rio Negro,near Cabeza de Vaca,#REF!,-40.41,-67.1,2000
MVZ_Egg_7132.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7132_egg.jpg,MVZ:Egg:7132,Rhea americana albescens,Argentina,Buenos Aires,30 mi NW Buenos Aires,#REF!,-34.4023,-58.6732,16514
MVZ_Egg_4313.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4313_egg.jpg,MVZ:Egg:4313,Rhea americana ssp.,United Kingdom,England,Tring Park,#REF!,51.78333,-0.65,2682
MVZ_Egg_7131.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7131_egg.jpg,MVZ:Egg:7131,Struthio camelus australis,Namibia,,"S Nuitsas, Grootponteln North",#REF!,-19.28333,18.58333,266
MVZ_Egg_4312.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4312_egg.jpg,MVZ:Egg:4312,Struthio camelus ssp.,United States,Oklahoma,101 Ranch in Ponca City,#REF!,36.707,-97.085,1804
MVZ_Egg_2604.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2604_egg1.jpg,MVZ:Egg:2604,Gavia adamsii,United States,Alaska,pond shore ca. 20 mi from Kotzebue,#REF!,66.89833333,-162.5966667,35243
MVZ_Egg_7143.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7143_egg.jpg,MVZ:Egg:7143,Aptenodytes patagonicus halli,France,French Antarctic Territory,Kerguelen Island,#REF!,-49.25,69.5,72215
MVZ_Egg_12996.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/12996_egg.jpg,MVZ:Egg:12996,Aptenodytes patagonicus ssp.,Australia,Tasmania,MacQuarie Island,#REF!,,,
MVZ_Egg_7149.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7149_egg.jpg,MVZ:Egg:7149,Eudyptes chrysocome chrysocome,United Kingdom,South Georgia and South Sandwich Islands,Kidney Island,#REF!,-51.616666,-57.75,806
MVZ_Egg_7150.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7150_egg1.jpg,MVZ:Egg:7150,Eudyptes chrysocome chrysocome,United Kingdom,South Georgia and South Sandwich Islands,Kidney Island,#REF!,-51.616666,-57.75,806
MVZ_Egg_7151.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7151_egg.jpg,MVZ:Egg:7151,Eudyptes chrysocome chrysocome,United Kingdom,South Georgia and South Sandwich Islands,Kidney Island,#REF!,-51.616666,-57.75,806
MVZ_Egg_7154.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7154_egg.jpg,MVZ:Egg:7154,Eudyptes chrysocome chrysocome,United Kingdom,South Georgia and South Sandwich Islands,Kipple Island,#REF!,-56,-33,1010694
